Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"1-к. квартира, 38,5 м², 8/12 эт.",13500000,"Москва, Веерная ул., 40к3",,Пользователь,Пользователь,7342519682,1,5,18 м²,7 м²,8,12,2.7 м,совмещенный,лоджия,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,панельный,1971,2,,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48530579,55.71282196",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_385_m_812_et._7342519682
"1-к. квартира, 39 м², 10/12 эт.",9300000,"Москва, Магнитогорская ул., 23",,Пользователь,Пользователь,7335575317,1,39,21 м²,8.9 м²,10,12,2.6 м,раздельный,балкон,"на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,1978,2,нет,детская площадка,открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.83228800,55.77597500",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_1012_et._7335575317
"2-к. квартира, 37,8 м², 2/12 эт.",8900000,"Москва, Люблинская ул., 5к6",,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,4573149106,2,8,22.3 м²,6.5 м²,2,12,,раздельный,,во двор,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,1969,2,нет,Ремонт,открытая во дворе,Жк Гармония Парк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73202700,55.71674700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_378_m_212_et._4573149106
"1-к. квартира, 43,4 м², 14/25 эт.",16500000,"Москва, Кастанаевская ул., 65",,Пользователь,Пользователь,3842963329,1,4,18.2 м²,10.2 м²,14,25,2.8 м,совмещенный,лоджия,на улицу,евро,есть,,"хорошая, выключатели известной французской фирмы Lеgrаnd.
Метро 5 минут до станции, очень удобная развязка.
Во дворе отличная детская площадка, спортивная площадка.
Рядом прекрасные парки, Москва- река.
Подойдет как для сдачи и комфортного проживания.
Квадратура Без учета лоджии 38,8
Один собственник. Без обременений.
О доме","Год постройки, расположение, ремонт и",монолитный,2021,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Пехра,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45267868,55.73110962",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_434_m_1425_et._3842963329
"1-к. квартира, 39 м², 12/14 эт.",9500000,"Москва, ул. Перерва, 34",,Пользователь,Пользователь,7280968590,1,39,,8 м²,12,14,,раздельный,,на солнечную сторону,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,1988,2,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73431015,55.65062714",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_1214_et._7280968590
"1-к. квартира, 30,2 м², 1/9 эт.",7800000,"Москва, ул. Академика Скрябина, 18",,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,7324314196,1,2,18 м²,5.5 м²,1,9,,совмещенный,,во двор,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, ул. Академика Скрябина, 18
Рязанский проспект11",1,нет,Ремонт,,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.79437900,55.70997200",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_302_m_19_et._7324314196
"1-к. квартира, 33 м², 9/12 эт.",21300000,"Москва, Большой Козихинский пер., 27с2",,Пользователь,Пользователь,7348059253,1,33,18 м²,8 м²,9,12,2.8 м,совмещенный,лоджия,во двор,евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",кирпичный,1973,1,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Кедровый Лиски,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59370400,55.76503700",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_912_et._7348059253
"3-к. квартира, 70,9 м², 10/15 эт.",12900000,"Москва, Новомосковский административный округ, р-н Коммунарка, пос. Коммунарка, ул. Потаповская Роща, 20к2",,CENTURY 21 Россия,CENTURY 21 Россия,7332985514,3,9,34.1 м²,17.9 м²,10,15,280 м,раздельный,балкон,"во двор, на улицу",требует ремонта,,,,дизайнерский ремонт,панельный,2022,1,1,", на улицу
Ремонт",,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50597500,55.55172100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_709_m_1015_et._7332985514
"3-к. апартаменты, 50 м², 14/18 эт.",15000000,"Москва, Берёзовая аллея, 19к6",,Пользователь,Пользователь,4906385610,3,50,40 м²,6 м²,14,18,3 м,совмещенный,балкон,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина, водонагреватель",пол,монолитный,2023,2,1,закрытая территория,"подземная, открытая во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.62545264,55.84957486",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_50_m_1418_et._4906385610
"1-к. квартира, 35 м², 12/13 эт.",12600000,"Москва, Шоссейная ул., 26/10",,Пользователь,Пользователь,7340863586,1,35,20 м²,7.5 м²,12,13,2.6 м,совмещенный,,во двор,евро,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",дизайнерский ремонт,блочный,1974,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Аквамарин,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.72306200,55.68465000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_1213_et._7340863586
"2-к. квартира, 45 м², 3/9 эт.",15950000,"Москва, Матвеевская ул., 42к2",,АН &quot;Единый Центр Недвижимости&quot;,"АН ""Единый Центр Недвижимости""",7337244487,2,45,27 м²,6 м²,3,9,64,совмещенный,лоджия,во двор,дизайнерский,,"кухня, хранение одежды, спальные места",холодильник,"Год постройки, расположение, ремонт и",панельный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
1 собственник
Последняя смена собственника 30 января 2025
Не найдены ограничения и обременения 
Совпадают площадь, адрес и этаж
Расположение
Москва, Матвеевская ул., 42к2
Давыдково11",1,нет,Ремонт,открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46022415,55.70735550",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_39_et._7337244487
"3-к. квартира, 58,5 м², 5/9 эт.",19000000,"Москва, ул. Генерала Антонова, 5к1",,ЖК Генерала Антонова,ЖК Генерала Антонова,7342634931,3,5,,6.6 м²,5,9,,совмещенный,балкон,Ванная комната,евро,,,,Новые,панельный,1968,1,нет,"е
Узнать больше о доме
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк",за шлагбаумом во дворе,ЖК Генерала Антонова,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53482000,55.64522200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_585_m_59_et._7342634931
"2-к. квартира, 62 м², 16/17 эт.",20000000,"Москва, Старопетровский пр., 8",,Livable Spaces,Livable Spaces,7325259286,2,62,,15 м²,16,17,3 м,совмещенный,,во двор,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",дизайнерский ремонт,монолитный,2021,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Балтийский,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50449200,55.82318600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_62_m_1617_et._7325259286
"3-к. квартира, 62 м², 4/9 эт.",11800000,"Москва, Бирюлёвская ул., 21к3",,Пользователь,Пользователь,4460915471,3,62,44.4 м²,6 м²,4,9,2.7 м,раздельный,балкон,"во двор, на улицу",косметический,,,,"Год постройки, расположение, ремонт и",панельный,1971,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.66947524,55.59447836",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_62_m_49_et._4460915471
"1-к. квартира, 38 м², 3/17 эт.",9700000,"Москва, ул. Грина, 9",,Юлия,Юлия,7336826087,1,38,19.1 м²,8.4 м²,3,17,2.6 м,совмещенный,балкон,во двор,требует ремонта,,"кухня, хранение одежды",,дизайнерский ремонт,панельный,1992,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.56843500,55.56746800",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_317_et._7336826087
"2-к. квартира, 71 м², 3/18 эт.",33099427,"ул. Маршала Бирюзова, стр. 1",,Rakurs,Rakurs,4506898320,2,71,,,3,18,2.9 м,,,,,,,,без отделки,монолитно-кирпичный,"RАКURS разместился в районе науки и окружен исследовательскими институтами и образовательными учреждениями, при этом на территории построена своя школа с уникальной концепцией. Расположенный на пересечении улиц Маршала Бирюзова и Берзарина, недалеко от станций метро «Октябрьское поле» и «Зорге», дом угождает транспортной доступностью автомобилистам и пешеходам. Инфраструктура же района создана с заботой о людях: здесь много парков, кафе и других уютных мест для отдыха.",,,"ах Rаkurs можно насладиться завтраком на террасе кафе, игрой с детьми или спортом на свежем воздухе.
В Rаkursе свой комьюнити-центр - многофункциональное пространство для работы, отдыха, общения и развития. Одна из важнейших частей центра",подземная,ЖК «RAKURS»,Корпус 2 (2 этап),возможна ипотека,,ДДУ по ФЗ 214,Сдача в 1 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49792000,55.78922000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_71_m_318_et._4506898320
"Апартаменты-студия, 30 м², 9/17 эт.",13700000,"Москва, Корабельная ул., 6",,Пользователь,Пользователь,7308287679,,30,30 м²,,9,17,,совмещенный,лоджия,на улицу,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,монолитный,2020,2,1,"детская площадка, спортивная площадка","наземная многоуровневая, открытая во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69530487,55.67906570",https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_30_m_917_et._7308287679
"2-к. квартира, 60,2 м², 20/46 эт.",28810485,"проезд 3-й Силикатный, д. 10",,MR Group,MR Group,7370078624,2,2,25.2 м²,17.3 м²,20,46,3 м,совмещенный,,на улицу,,,,,предчистовая,монолитный,,1,,"Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22",подземная,ЖК «JOIS»,"Этап 1, Корпус 1 (ANNA)",прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50737000,55.77342000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_602_m_2046_et._7370078624
"2-к. квартира, 55,6 м², 16/25 эт.",10300000,"Московская обл., Ленинский г.о., пгт. Дрожжино, Южная ул., 11к3",,Пользователь,Пользователь,7264711552,2,6,23 м²,19.5 м²,16,25,2.7 м,раздельный,,"во двор, на солнечную сторону",евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,2021,4,4,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58959000,55.52250000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_556_m_1625_et._7264711552
"2-к. квартира, 82,3 м², 20/20 эт.",25844504,"проезд Строительный, стр. 9/9",Ввод в эксплуатацию 1 корпуса назначен на 2 квартал 2025 года. Дата реализации всего проекта неизвестна.,Domofond,Domofond,5089432692,2,3,43.4 м²,26.5 м²,20,20,,совмещенный,лоджия,"во двор, на улицу",,,,,без отделки,монолитно-кирпичный,,,,", на улицу
Отделка",,ЖК «Sky Garden»,Корпус 2,прямая продажа,,ДДУ по ФЗ 214,Сдача в 1 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42359000,55.83691000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_823_m_2020_et._5089432692
"3-к. квартира, 119 м², 31/65 эт.",164000000,"Москва, Краснопресненская наб., 14Ак1",,Пользователь,Пользователь,7235510193,3,119,80 м²,38 м²,31,65,3.2 м,совмещенный,,"во двор, на улицу",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,монолитный,2023,2,2,"закрытая территория, детская площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54969847,55.75124466",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_119_m_3165_et._7235510193
"1-к. апартаменты, 46,1 м², 5/16 эт.",23106120,"ул. Автозаводская, корп. 1, вл. 24",,РКС Девелопмент,РКС Девелопмент,4805692603,1,1,,,5,16,3 м,,,"в пол- Кухня-гостиная- Просторная прихожая- Внутрипольные конвекторы с регуляторами давления. Индивидуальные тепловые счетчики- Повышенная звукоизоляция
О застройщике
Группа компаний",,,,,чистовая,монолитный,,2,2,". Отельный сервис от управляющей компании, которая решит все бытовые вопросы резидентов",подземная,Дом на набережной INSIDER,Корпус 1,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 1 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63505000,55.70662000",https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_461_m_516_et._4805692603
"2-к. квартира, 46,2 м², 3/12 эт.",12500000,"Москва, 1-я Напрудная ул., 11",,НДВ,НДВ,4837916041,2,2,30 м²,6.7 м²,3,12,,раздельный,лоджия,"во двор, на солнечную сторону",косметический,,,,"Год постройки, расположение, ремонт и",панельный,1974,,,", на солнечную сторону
Ремонт",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69093800,55.87930300",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_462_m_312_et._4837916041
"2-к. квартира, 41,4 м², 11/12 эт.",11990000,"Москва, ул. Свободы, 63",,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,4445123847,2,4,24.5 м²,6 м²,11,12,,раздельный,балкон,во двор,косметический,,"и прочие домашние атрибуты, остается новому владельцу","холодильник, плита с духовкой, стиральная машина, кондиционер, пылесос, кухонная утварь, сантехника, а также вся мебель и прочие домашние атрибуты, остается новому владельцу","Год постройки, расположение, ремонт и",блочный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, ул. Свободы, 63
Сходненская6",2,нет,Ремонт,,Жк Гармония,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.44892300,55.85466300",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_414_m_1112_et._4445123847
"2-к. квартира, 47 м², 15/19 эт.",15500000,"Москва, Славянский б-р, 7к1",,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,4572861287,2,47,28 м²,8 м²,15,19,,совмещенный,лоджия,на улицу,дизайнерский,,,,дизайнерский ремонт,панельный,,1,1,,,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46991600,55.72671500",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_47_m_1519_et._4572861287
"1-к. квартира, 37,6 м², 3/17 эт.",12000000,"Москва, Митинская ул., 52",,Пользователь,Пользователь,7373907207,1,6,,10 м²,3,17,2.6 м,совмещенный,лоджия,"во двор, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,1992,1,1,"детская площадка, спортивная площадка",открытая во дворе,"Пpoдаетcя однокомнатная квартиpа нa 3 этажe пaнельного дoмa, 1992 годa пocтpoйки (серия П44-17) в однoм из сaмыx уютныx paйoнов Moсквы . Oкна выхoдят вo двop. В квaртиpe ocтаeтcя вcя мeбeль и бытовaя теxника . Cдeлан кocметичecкий рeмонт . Дo мeтро «Пятницкoе шоccе» 1 минута . Двop благоустроенный с детской площадкой . Рядом школы и детские сады . Вокруг много ТЦ и магазинов , салонов красоты и спортивных комплексов . Так же Митинский ландшафтный парк с велодорожками , прудами и всей инфраструктурой для отдыха . До МКАДа 10 мин . До центра Москвы 35-40 мин . 1 взрослый собственник, полная стоимость в договоре . Обременений нет .",,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.35437458,55.85388143",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_376_m_317_et._7373907207
"3-к. квартира, 60 м², 4/9 эт.",14700000,"Москва, Днепропетровская ул., 27к1",,Денис,Денис,7352882508,3,60,38.7 м²,6 м²,4,9,2.6 м,раздельный,лоджия,"во двор, на улицу, на солнечную сторону",евро,,есть,,"Год постройки, расположение, ремонт и",панельный,1970,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58606800,55.61995000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_60_m_49_et._7352882508
"2-к. квартира, 60,4 м², 6/17 эт.",18610000,"25-26 км МКАД, корп. 1",,Брусника - Квартал Герцена,Брусника - Квартал Герцена,7382302483,2,4,38.9 м²,5.1 м²,6,17,3.2 м,,балкон,,,,,,предчистовая,монолитно-кирпичный,,,,"детская площадка, спортивная площадка",,ЖК «Квартал Герцена»,"Этап 1, Корпус 1",прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.70680000,55.58465000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_604_m_617_et._7382302483
"2-к. квартира, 41,4 м², 1/9 эт.",9600000,"Москва, 16-я Парковая ул., 23",,Агентство недвижимости &quot;ВСЁ ПРОСТО&quot;,"Агентство недвижимости ""ВСЁ ПРОСТО""",4656789381,2,4,26.7 м²,5.1 м²,1,9,,раздельный,,во двор,косметический,,,,"Год постройки, расположение, ремонт и",кирпичный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, 16-я Парковая ул., 23
Первомайская21",1,нет,Ремонт,,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.82589200,55.80065600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_414_m_19_et._4656789381
"1-к. апартаменты, 10,6 м², 1/5 эт.",3000000,"Москва, Стрельбищенский пер., 22А",,Квартиры в Москве,Квартиры в Москве,3800287422,1,6,,3 м²,1,5,,совмещенный,,,требует ремонта,,,,"Год постройки, расположение, ремонт и",кирпичный,1953,,,"детская площадка, спортивная площадка",открытая во дворе,Жк Кедровый Лиски,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54091900,55.76025600",https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_106_m_15_et._3800287422
"1-к. апартаменты, 34 м², 1/5 эт.",8300000,"Москва, Гостиничная ул., 10к5",,Пользователь,Пользователь,4382811275,1,34,19 м²,3 м²,1,5,4.3 м,раздельный,,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, водонагреватель",дизайнерский ремонт,кирпичный,1956,1,нет,детская площадка,открытая во дворе,Жк Кедровый Лиски,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58114624,55.84619904",https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_34_m_15_et._4382811275
"4-к. квартира, 78,1 м², 8/19 эт.",16675912,"п. Сосненское, д. Столбово, з/у 41/1Г, д. 9",,ГК &quot;А101&quot;,"ГК ""А101""",4239156814,4,1,48.6 м²,21 м²,8,19,2.8 м,совмещенный,"балкон, лоджия",во двор,,,,,без отделки,монолитный,,1,,закрытая территория,,ЖК «Бунинские кварталы»,Дом 9,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47329000,55.53848000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_781_m_819_et._4239156814
"3-к. апартаменты, 165 м², 2/2 эт.",349999999,"Москва, ул. Маросейка, 11/4с1",,Monumental Group,Monumental Group,7340942311,3,165,,20 м²,2,2,12 м,"совмещенный, раздельный","балкон, лоджия",,дизайнерский,,ю премиум-класса,,дизайнерский ремонт,монолитно-кирпичный,,2,2,,подземная,Жк Сказочный Лес,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63577200,55.75780500",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_165_m_22_et._7340942311
"3-к. квартира, 76 м², 2/9 эт.",65000000,"Москва, Малая Никитская ул., 16/5",,Monumental Group,Monumental Group,7308704461,3,76,,12 м²,2,9,3 м,совмещенный,лоджия,"во двор, на улицу",евро,,,,"Кoмфopтнaя плaнировка с бoльшим потeнциaлoм: куxня-гocтиная, двe пpоcторныe cпaльни c выхoдом нa тeppаcу, caнузeл, пpоcтоpный хoлл. Bысoкиe потoлки, шиpокиe oкнa и выcoкиe двeрныe пpoёмы, терpaca, завораживающие виды-всё это даёт возможности сделать квартиру с уникальным ремонтом вашей мечты! А учитывая, что под квартирой нежилое помещение - возможностей ещё больше! В квартире только две несущие колонны, что позволяет легко спланировать квартиру под свой вкус. Выход на террасу есть ТОЛЬКО у трёх квартир!",кирпичный,1938,1,нет,"закрытая территория, детская площадка",за шлагбаумом во дворе,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59118900,55.75903500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_76_m_29_et._7308704461
"1-к. квартира, 35,1 м², 12/12 эт.",8200000,"Москва, Ферганская ул., 9к1",,Пользователь,Пользователь,4669863530,1,1,19 м²,6 м²,12,12,2.5 м,раздельный,,во двор,косметический,,", создавая идеальное пространство для кулинарных экспериментов.
- Семейным парам особенно понравится этот район, ведь рядом находятся школы, детские сады, медицинские учреждения и магазины. Для активного отдыха доступен фитнес-центр, а для крупных покупок",кондиционер,дизайнерский ремонт,панельный,1973,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.80575100,55.71026600",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_351_m_1212_et._4669863530
"6-к. квартира, 412 м², 4/8 эт.",263680000,"Москва, Земледельческий пер., 11",,BARNES Moscow,BARNES Moscow,7264343181,6,412,,31.8 м²,4,8,3.2 м,совмещенный,балкон,"во двор, на улицу",дизайнерский,,есть,,с,панельный,2010,1,,", на улицу
Ремонт",,Жк Лучи,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57815400,55.74090200",https://www.avito.ru/moskva/kvartiry/6-k._kvartira_412_m_48_et._7264343181
"5-к. квартира, 240 м², 2/6 эт.",326007200,"Москва, Поварская ул., 28с1",,Monumental Group,Monumental Group,4205368193,5,240,,14 м²,2,6,4 м,совмещенный,,,дизайнерский,,"из дерева от итальянского бренда Frаnсеsсо Маlоn создает атмосферу уюта, а в рабочем кабинете расположена эксклюзивная мебель по индивидуальному заказу из Испании. Встроенная гардеробная с большим количеством секций предлагает удобство и порядок.

Дополнительные элементы, которые делают эту квартиру поистине уникальной","из Германии и Италии гарантирует надежность и стиль.
Каждая деталь квартиры продумана до мелочей",- Высококачественный ремонт с восхитительной лепниной;,кирпичный,1913,,,,,Жк Легенда,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59279700,55.75519600",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_240_m_26_et._4205368193
