Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"4-к. квартира, 122 м², 9/24 эт.",73500000,"Москва, Шелепихинская наб., 34к3зд7",4 мая 16:28,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4642502040,4,122,,20 м²,9,24,3.2 м,совмещенный,,"во двор, на улицу, на солнечную сторону",требует ремонта,,есть,,"Год постройки, расположение, ремонт и",монолитно-кирпичный,2021,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51519100,55.76321400",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_122_m_924_et._4642502040
"4-к. квартира, 130 м², 2/12 эт.",204100000,"Москва, ул. Сергея Бондарчука, 4",4 мая 16:28,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,7330452865,4,130,,13 м²,2,12,,совмещенный,лоджия,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",Стены,монолитно-кирпичный,2024,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Река,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48193600,55.69202400",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_130_m_212_et._7330452865
"6-к. апартаменты, 143 м², 1/5 эт.",58500000,"Москва, ул. Свободы, 24/9",,Пользователь,Пользователь,7290596510,6,143,,25 м²,1,5,4 м,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,кирпичный,,,,"детская площадка, спортивная площадка",открытая во дворе,Жк Покровский Парк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45439529,55.83393097",https://www.avito.ru/moskva/kvartiry/6-k._apartamenty_143_m_15_et._7290596510
"4-к. апартаменты, 112 м², 6/58 эт.",41500000,"Москва, ул. Народного Ополчения, 15к2",,Пользователь,Пользователь,7241173464,4,112,45 м²,24 м²,6,58,3.1 м,совмещенный,балкон,"на улицу, на солнечную сторону",требует ремонта,,,,дизайнерский ремонт,монолитный,2022,3,3,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Рублевский Квартал,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47433600,55.77366200",https://www.avito.ru/moskva/kvartiry/4-k._apartamenty_112_m_658_et._7241173464
"5-к. квартира, 200 м², 3/12 эт.",180000000,"Москва, ул. Сергея Бондарчука, 4",4 мая 16:28,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,7202130637,5,200,,20 м²,3,12,,совмещенный,Лоджия,"во двор, на улицу, на солнечную сторону",требует ремонта,,есть,,дизайнерский ремонт,монолитно-кирпичный,2024,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48193600,55.69202400",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_200_m_312_et._7202130637
"5-к. квартира, 227 м², 18/18 эт.",189000000,"Москва, Резервный пр., 4",4 мая 16:28,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,7234704867,5,227,,23 м²,18,18,3.2 м,совмещенный,,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,дизайнерский ремонт,монолитный,2007,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55089000,55.74073500",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_227_m_1818_et._7234704867
"4-к. квартира, 144,6 м², 4/8 эт.",109000000,"Москва, Мясницкая ул., 21с8",Сегодня 08:50,Monumental Group,Monumental Group,4493340321,4,6,,17 м²,4,8,,"совмещенный, раздельный",балкон,,дизайнерский,,,,"Год постройки, расположение, ремонт и",кирпичный,1915,,,"е, что гарантирует тишину и спокойствие.



Квартира солнечная и тёплая благодаря множеству окон, выходящих на три стороны света. В собственности с 2005 года, один взрослый собственник, полная стоимость в договоре",,Виктори Парк Резиденс Жк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63457700,55.76440400",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1446_m_48_et._4493340321
"4-к. квартира, 96,5 м², 17/21 эт.",17500000,"п. Сосненское, д. Столбово, д. 6",28 апреля 15:02,CityOne,CityOne,7268736890,4,5,59.9 м²,9.2 м²,17,21,3 м,"совмещенный, раздельный",лоджия,,,,,,чистовая,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Бунинские кварталы»,Дом 6,прямая продажа,переуступка,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47572000,55.54017000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_965_m_1721_et._7268736890
"5-к. квартира, 151,6 м², 8/67 эт.",181920000,"Краснопресненская наб., д. 14, корп. 2",24 апреля 03:58,Capital Group,Capital Group,3076279127,5,6,126.3 м²,22.7 м²,8,67,3.1 м,,,,,,,,чистовая,монолитный,,,,,,ЖК «Capital Towers»,Корпус Б,прямая продажа,,другое,Сдан 2 кв. 2023,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54853000,55.75151000",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_1516_m_867_et._3076279127
"5-к. квартира, 102,1 м², 52/59 эт.",35364172,"ул. Верейская, д. 29/32Б",,MR Group - ЖК «SET»,MR Group - ЖК «SET»,4319136878,5,1,69.5 м²,,52,59,2.9 м,,лоджия,"ми на три стороны света, мастер-спальнями и террасами, а также система",,,,,предчистовая,монолитный,,,,"детская площадка, спортивная площадка","на 50 мест.

Статусное окружение

В непосредственной близости расположены престижные учебные заведения, такие как лучшая бизнес-школа России",ЖК SET,Урбан-блок UB2,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43617000,55.71002000",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_1021_m_5259_et._4319136878
"4-к. квартира, 95,4 м², 9/53 эт.",66900000,"Москва, ул. Народного Ополчения, 15к3",7 мая 01:24,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,4194643824,4,4,,27 м²,9,53,3.1 м,совмещенный,а,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",в,монолитный,2022,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Wellton Towers,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47341100,55.77385400",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_954_m_953_et._4194643824
"4-к. квартира, 156 м², 5/14 эт.",134000000,"Москва, Оболенский пер., 9к8",Сегодня 08:49,Monumental Group,Monumental Group,7276068718,4,156,78.8 м²,17.8 м²,5,14,,раздельный,"балкон, лоджия",,дизайнерский,,,от Villеrоy Восh.,дизайнерский ремонт,монолитный,2002,3,,"закрытая территория, детская площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58062500,55.73087700",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_156_m_514_et._7276068718
"4-к. квартира, 102 м², 2/6 эт.",80000000,"Москва, ул. Большая Якиманка, 27",3 мая 14:33,Monumental Group,Monumental Group,7276660853,4,102,,10 м²,2,6,3.8 м,совмещенный,,"во двор, на улицу",дизайнерский,,есть,,"Элегантный кирпичный дом с красивым фасадом, построенный в 1911 году. В 30-е годы прошлого века здание было полностью реконструировано: произошло объединение с соседним домом, надстройка трех этажей и установка современных лифтов. Недавно выполнен капитальный ремонт, что гарантирует надежность и современность всех систем.",кирпичный,1911,1,,", на улицу
Ремонт",,Виктори Парк Резиденс Жк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.61475200,55.73602200",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_102_m_26_et._7276660853
"5-к. квартира, 127,2 м², 19/33 эт.",210000000,"Москва, Причальный пр., 10к1",5 мая 13:02,ВСЕ НАЧИНАЕТСЯ С МЕЧТЫ,ВСЕ НАЧИНАЕТСЯ С МЕЧТЫ,7361043277,5,2,,51 м²,19,33,,"совмещенный, раздельный",,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,,4,2,"закрытая территория, детская площадка, спортивная площадка",,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51672700,55.75978500",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_1272_m_1933_et._7361043277
"6-к. квартира, 206 м², 32/32 эт.",160000000,"Москва, ул. Годовикова, 11к4",,Анастасия,Анастасия,4469841986,6,206,,43 м²,32,32,3 м,раздельный,,"на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,2021,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.62472153,55.80989075",https://www.avito.ru/moskva/kvartiry/6-k._kvartira_206_m_3232_et._4469841986
"4-к. квартира, 168 м², 58/59 эт.",120000000,"Москва, Дмитровский пр., 1",3 мая 16:23,ВСЕ НАЧИНАЕТСЯ С МЕЧТЫ,ВСЕ НАЧИНАЕТСЯ С МЕЧТЫ,7329588346,4,168,,34 м²,58,59,2.8 м,"совмещенный, раздельный",,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,есть,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57864800,55.80893800",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_168_m_5859_et._7329588346
"5-к. квартира, 222,8 м², 4/6 эт.",269588000,"Москва, Минская ул., 2Вк3",16 апреля 17:38,Метриум Премиум,Метриум Премиум,4809631049,5,8,,12 м²,4,6,,совмещенный,балкон,"ориентированы на 3 стороны.

В наличии машиноместо в подземном паркинге и кладовое помещение.

Закрытая охраняемая территория комплекса, подземный паркинг. Абсолютное ощущение жизни за городом в районе Кутузовского проспекта, рядом с Парком Победы и природным заказником",требует ремонта,,,,дизайнерский ремонт,монолитно-кирпичный,,,,,есть,Жк Вереск,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50504000,55.71648300",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_2228_m_46_et._4809631049
"4-к. квартира, 127,5 м², 5/5 эт.",51990000,"Москва, 1-я Брестская ул., 36",,Sapiro Estate,Sapiro Estate,4190197999,4,5,,40 м²,5,5,3.2 м,совмещенный,,"во двор, на улицу",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,кирпичный,1902,1,,"закрытая территория, детская площадка",за шлагбаумом во дворе,Виктори Парк Резиденс Жк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58926773,55.77309418",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1275_m_55_et._4190197999
