Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"2-к. квартира, 83,9 м², 16/23 эт.",48500000,"Москва, Гжатская ул., 5к4",7 мая 00:24,PEOPLE - агентство элитной недвижимости,PEOPLE - агентство элитной недвижимости,7234121291,2,9,,9 м²,16,23,3 м,совмещенный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Год постройки, расположение, ремонт и",монолитно-кирпичный,2020,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43711000,55.71351700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_839_m_1623_et._7234121291
"2-к. квартира, 55,7 м², 2/9 эт.",15900000,"Москва, ул. Фомичёвой, 7к2",,Пользователь,Пользователь,7356095870,2,7,27 м²,16 м²,2,9,,совмещенный,,во двор,евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",кирпичный,1966,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.44236374,55.85522842",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_557_m_29_et._7356095870
"2-к. квартира, 54 м², 12/17 эт.",16400000,"Москва, Волоцкой пер., 7к1",,Пользователь,Пользователь,7387433907,2,54,33 м²,9.1 м²,12,17,2.6 м,раздельный,балкон,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, водонагреватель",Отличная планировка для своего ремонта.,панельный,1996,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.35286429,55.83521163",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_54_m_1217_et._7387433907
"2-к. квартира, 52 м², 17/34 эт.",53000000,"Москва, Поклонная ул., 9",,ВСЕ НАЧИНАЕТСЯ С МЕЧТЫ,ВСЕ НАЧИНАЕТСЯ С МЕЧТЫ,7329388622,2,52,,17 м²,17,34,,,,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52532400,55.73433400",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_52_m_1734_et._7329388622
"2-к. квартира, 55 м², 37/58 эт.",36050100,"Москва, Западный административный округ, район Филёвский Парк, жилой комплекс Фили Сити",,SOKOL REALTY,SOKOL REALTY,7353822401,2,55,,25 м²,37,58,3.1 м,совмещенный,,во двор,требует ремонта,,,,дизайнерский ремонт,монолитный,,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Рублевский Квартал,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50977000,55.74222000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_55_m_3758_et._7353822401
"2-к. квартира, 53 м², 18/28 эт.",26000000,"Москва, Первомайская ул., 42к3",,Дмитрий Ракута. Одобрение ипотеки.,Дмитрий Ракута. Одобрение ипотеки.,4631472844,2,53,,15 м²,18,28,,раздельный,,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Год постройки, расположение, ремонт и",монолитный,2012,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.78777600,55.79250800",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_53_m_1828_et._4631472844
"2-к. квартира, 43 м², 15/21 эт.",33333000,"Москва, Хорошёвское ш., 25Ак3",,Сергей,Сергей,7313340682,2,43,,15 м²,15,21,3 м,совмещенный,,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Год постройки, расположение, ремонт и",монолитный,2020,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",Жк Сердце Ростова,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52511800,55.77634000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_43_m_1521_et._7313340682
"2-к. квартира, 48,3 м², 9/12 эт.",11399999,"Москва, Бирюлёвская ул., 58к2",31 марта 13:28,Леся Твелина,Леся Твелина,4849786295,2,3,33.4 м²,6.8 м²,9,12,2.5 м,раздельный,лоджия,"во двор, на солнечную сторону",требует ремонта,,,,дизайнерский ремонт,панельный,1976,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.66930600,55.58099600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_483_m_912_et._4849786295
"2-к. квартира, 52,6 м², 15/45 эт.",19675910,"проезд Строительный, стр. 9/9",23 апреля 18:11,Great Person Realty,Great Person Realty,4666775369,2,6,24.3 м²,15.6 м²,15,45,3.1 м,совмещенный,,,,,,,чистовая,монолитный,,2,2,"детская площадка, спортивная площадка",подземная,ЖК «Sky Garden»,Корпус 2,возможна ипотека,переуступка,ДДУ по ФЗ 214,Сдача в 1 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42359000,55.83691000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_526_m_1545_et._4666775369
"2-к. квартира, 55 м², 12/21 эт.",9077141,"Москва, Новомосковский административный округ, Филимонковский район, жилой комплекс Цветочные Поляны, к12",,Группа «Самолет»,Группа «Самолет»,4411696992,2,55,22.6 м²,15.7 м²,12,21,2.7 м,"совмещенный, раздельный",,,,,"ю
бессрочно
Trade-in
до 31.05.25
Скидка 5",,без отделки,монолитный,,1,1,"детская площадка, спортивная площадка",открытая во дворе,ЖК «Цветочные Поляны»,Корпус 12,прямая продажа,,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.30924000,55.55840000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_55_m_1221_et._4411696992
