Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"2-к. квартира, 50 м², 5/9 эт.",29000000,"Москва, Учебный пер., 1",,Игорь Седов,Игорь Седов,3624620447,2,50,30 м²,10 м²,5,9,2.7 м,совмещенный,лоджия,на улицу,евро,,,,Звонить,кирпичный,1969,1,1,"е
Узнать больше о доме
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк",за шлагбаумом во дворе,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55882300,55.72461600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_50_m_59_et._3624620447
"2-к. квартира, 52 м², 14/17 эт.",14500000,"Москва, ул. Главмосстроя, 9",,Пользователь,Пользователь,4676472429,2,52,30.3 м²,9.8 м²,14,17,,раздельный,лоджия,во двор,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,панельный,2007,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.40601000,55.65570600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_52_m_1417_et._4676472429
"2-к. квартира, 58,3 м², 5/10 эт.",14000000,"Москва, Венёвская ул., 23",,Пользователь,Пользователь,7382844362,2,3,32 м²,10.5 м²,5,10,2.6 м,раздельный,балкон,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,1994,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55163574,55.54282379",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_583_m_510_et._7382844362
"2-к. квартира, 36,6 м², 3/12 эт.",12600000,"Москва, ул. Медиков, 20",,Пользователь,Пользователь,4751543334,2,6,23 м²,6.2 м²,3,12,2.5 м,раздельный,балкон,"во двор, на улицу",косметический,,кухня,,дизайнерский ремонт,блочный,1967,2,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.67873900,55.63293100",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_366_m_312_et._4751543334
"2-к. квартира, 49,9 м², 3/14 эт.",10900000,"Москва, Зеленоград, к1438",,Пользователь,Пользователь,7282171502,2,9,38 м²,8.6 м²,3,14,2.6 м,раздельный,лоджия,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,1991,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.15326900,55.98775400",https://www.avito.ru/moskva_zelenograd/kvartiry/2-k._kvartira_499_m_314_et._7282171502
"2-к. квартира, 54,7 м², 2/4 эт.",11000000,"Москва, ул. Николая Химушина, 11к3",6 мая 10:53,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,4637135729,2,7,35.3 м²,7 м²,2,4,,раздельный,,"во двор, на улицу",косметический,,,,дизайнерский ремонт,кирпичный,,1,нет,", на улицу
Ремонт",,Жк Маяковский Воронеж,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.76079100,55.82233600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_547_m_24_et._4637135729
"2-к. квартира, 45,4 м², 2/12 эт.",13600000,"Москва, ул. Артюхиной, 5",,Пользователь,Пользователь,7283477343,2,4,,6 м²,2,12,,раздельный,балкон,"на улицу, на солнечную сторону",евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",кирпичный,1971,1,1,детская площадка,открытая во дворе,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73904419,55.70228195",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_454_m_212_et._7283477343
"2-к. квартира, 56,6 м², 14/17 эт.",16200000,"Москва, Новомарьинская ул., 28",,Пользователь,Пользователь,7382855741,2,6,10.5 м²,35 м²,14,17,,раздельный,балкон,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина","Год постройки, расположение, ремонт и",панельный,1998,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.76764500,55.65768200",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_566_m_1417_et._7382855741
"2-к. квартира, 53 м², 6/14 эт.",19300000,"Москва, Новочерёмушкинская ул., 23",,Людмила,Людмила,7360416353,2,53,30.5 м²,8.4 м²,6,14,,раздельный,балкон,во двор,косметический,,кухня,,дизайнерский ремонт,панельный,1998,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58001400,55.68183900",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_53_m_614_et._7360416353
"2-к. квартира, 39,3 м², 7/14 эт.",20000000,"Москва, Большая Переяславская ул., 6к2",,Пользователь,Пользователь,4105057518,2,3,23.9 м²,6 м²,7,14,2.6 м,совмещенный,лоджия,"во двор, на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,панельный,1972,2,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64398193,55.78095627",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_393_m_714_et._4105057518
"2-к. квартира, 50,8 м², 2/12 эт.",14990000,"Москва, ул. Твардовского, 13к2",20 апреля 10:13,Екатерина,Екатерина,7382557239,2,8,30.5 м²,9 м²,2,12,2.7 м,раздельный,,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,1980,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.39806900,55.79617200",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_508_m_212_et._7382557239
"2-к. квартира, 50,8 м², 16/17 эт.",18470400,"Москва, ул. Рогова, 7к2",,Пользователь,Пользователь,7363118648,2,8,36 м²,9 м²,16,17,2.7 м,раздельный,лоджия,"во двор, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина","Год постройки, расположение, ремонт и",монолитный,1998,1,1,", на солнечную сторону
Ремонт",открытая во дворе,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46004400,55.79426400",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_508_m_1617_et._7363118648
"Аукцион: 2-к. квартира, 80,6 м², 16/30 эт.",17161480,"Москва, б-р Маршала Рокоссовского, 6к1",,АН Арбат,АН Арбат,7340903572,2,6,50.4 м²,12.3 м²,16,30,,раздельный,лоджия,,требует ремонта,,,,дизайнерский ремонт,монолитный,2012,2,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",Жк Рублевский Квартал,,аукцион,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.72788500,55.80993400",https://www.avito.ru/moskva/kvartiry/auktsion_2-k._kvartira_806_m_1630_et._7340903572
"2-к. квартира, 47 м², 9/14 эт.",14450000,"Москва, Черноморский б-р, 7к2, Чертановская",28 апреля 13:19,Пользователь,Пользователь,4521469180,2,47,,,9,14,,,,,ремонт: Всё,,,,дизайнерский ремонт,,,,,,,Жк Гармония,,прямая продажа,,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_47_m_914_et._4521469180
"2-к. квартира, 62,4 м², 3/5 эт.",16300000,"Москва, ул. Толбухина, 12к1",,Анна,Анна,7267089261,2,4,35.5 м²,10.1 м²,3,5,3.1 м,раздельный,,"на улицу, на солнечную сторону",требует ремонта,,,,"Год постройки, расположение, ремонт и",кирпичный,1953,нет,нет,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.40140152,55.72198868",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_624_m_35_et._7267089261
"2-к. квартира, 45 м², 5/9 эт.",11900000,"Москва, Ферганская ул., 24",7 мая 16:36,Самолёт плюс.Видное,Самолёт плюс.Видное,4670024179,2,45,27 м²,7 м²,5,9,,раздельный,,во двор,косметический,,,,"Год постройки, расположение, ремонт и",панельный,1968,1,нет,Ремонт,,Жк Гармония Парк,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.82044800,55.70372300",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_59_et._4670024179
"2-к. квартира, 43,8 м², 8/9 эт.",12400000,"Москва, Ярославское ш., 6к2",6 мая 11:17,АН ПАРТНЁРЫ,АН ПАРТНЁРЫ,7214742717,2,8,30 м²,6 м²,8,9,,раздельный,,,евро,,"кухня, хранение одежды, спальные места",,"Год постройки, расположение, ремонт и",панельный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, Ярославское ш., 6к2
Ростокино21",1,нет,"е
Узнать больше о доме
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.68615000,55.85063600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_438_m_89_et._7214742717
"2-к. квартира, 60 м², 3/14 эт.",17500000,"Москва, Люблинская ул., 47",,Пользователь,Пользователь,7274375918,2,60,34 м²,12 м²,3,14,2.7 м,раздельный,лоджия,во двор,евро,,кухня,,"Год постройки, расположение, ремонт и",панельный,1999,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73575798,55.69417143",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_60_m_314_et._7274375918
"2-к. квартира, 60,5 м², 18/20 эт.",16199000,"Москва, Новомосковский административный округ, поселение Внуковское, ул. Анны Ахматовой, 22",,ВСК Недвижимость,ВСК Недвижимость,7326442300,2,5,35 м²,12 м²,18,20,2.8 м,раздельный,балкон,на улицу,косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина","Год постройки, расположение, ремонт и",монолитно-кирпичный,2016,,,"детская площадка, спортивная площадка",открытая во дворе,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.32153320,55.63340759",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_605_m_1820_et._7326442300
"2-к. квартира, 48 м², 4/9 эт.",43950000,"Москва, 1-й Смоленский пер., 13",,Пользователь,Пользователь,4603922451,2,48,30 м²,8 м²,4,9,2.7 м,совмещенный,лоджия,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Потрясающая двухкомнатная квартира с функциональной планировкой, с новым качественным и ультра-современным дизайнерским ремонтом. Удобная планировка, включающая спальню, гостиную, кухню, совмещенный санузел и просторную лоджию, где можно насладиться утренним кофе и перспективными видами на центр Москвы. Это уютная квартира для комфортной жизни, созданная с любовью и вниманием к деталям, в которую можно сразу заехать и жить без лишних хлопот.",кирпичный,1967,1,нет,детская площадка,открытая во дворе,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57991500,55.74781900",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_48_m_49_et._4603922451
"2-к. апартаменты, 54,3 м², 8/28 эт.",14500000,"Московская обл., г.о. Красногорск, жилой комплекс Спутник, к16",,Мечты в квадрате,Мечты в квадрате,7375044260,2,3,23.5 м²,13.7 м²,8,28,2.9 м,"совмещенный, раздельный",балкон,"во двор, на улицу",косметический,,есть,есть,"Год постройки, расположение, ремонт и",монолитно-кирпичный,2024,2,1,", на улицу
Ремонт",,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.37616800,55.80151600",https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_543_m_828_et._7375044260
"2-к. квартира, 48,7 м², 8/8 эт.",20000000,"Москва, Университетский пр-т, 23к4",,Пользователь,Пользователь,4634331135,2,7,,7.6 м²,8,8,2.8 м,раздельный,балкон,на улицу,требует ремонта,,,,"Год постройки, расположение, ремонт и",кирпичный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
2 собственника или больше
Последняя смена собственника 16 мая 2024
Не найдены ограничения и обременения 
Совпадают площадь, адрес и этаж
Расположение
Москва, Университетский пр-т, 23к4
Ломоносовский проспект11",1,,"закрытая территория, детская площадка",открытая во дворе,Жк Маяковский Воронеж,,ПРОДАЖА OТ COБСТВЕHНИKА,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51655607,55.71416799",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_487_m_88_et._4634331135
"2-к. квартира, 38 м², 6/9 эт.",24900000,"Москва, ул. Зацепский Вал, 6/13с1",,Пользователь,Пользователь,7349452947,2,38,21.3 м²,8 м²,6,9,2.5 м,совмещенный,балкон,"на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,блочный,1963,1,нет,спортивная площадка,за шлагбаумом во дворе,Жк Гармония,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63946335,55.73300675",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_38_m_69_et._7349452947
"2-к. квартира, 56 м², 24/25 эт.",12000000,"Москва, Митинская ул., 53",2 мая 23:16,АО Сити,АО Сити,7336082913,2,56,34 м²,9 м²,24,25,,,,,косметический,,,"холодильник, стиральная машина",дизайнерский ремонт,блочный,,,,,,"Московская обл., Люберцы, мкр-н Зенино ЖК Самолёт, Вертолётная ул., 42, Некрасовка",,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.35164400,55.85340500",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_56_m_2425_et._7336082913
"2-к. квартира, 53 м², 3/12 эт.",12000000,"Москва, Ставропольская ул., 60к1",,Лейла,Лейла,7207568936,2,53,30.8 м²,9.8 м²,3,12,2.5 м,раздельный,,во двор,косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина","Год постройки, расположение, ремонт и",блочный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
1 собственник
Последняя смена собственника 9 апреля 2019
Не найдены ограничения и обременения 
Совпадают площадь, адрес и этаж
Расположение
Москва, Ставропольская ул., 60к1
Люблино11",1,1,детская площадка,открытая во дворе,Жк Гармония,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.77214557,55.68164285",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_53_m_312_et._7207568936
"2-к. квартира, 51 м², 2/17 эт.",12000000,"Москва, Боровское ш., 43к1",,Любовь,Любовь,4494710936,2,51,30.6 м²,8.1 м²,2,17,,раздельный,балкон,во двор,косметический,,,,"Год постройки, расположение, ремонт и",панельный,1988,1,1,"детская площадка, спортивная площадка",открытая во дворе,"Свобoдная прoдажа двухкомнатной квaртиpы в Нoвo-Пеpeделкинo. Уcтaнoвлeны  cтeклопакеты, новыe межкoмнaтныe и вxoдныe двеpи. Пoлы-паpкет и ламинaт. Peмoнт коcметичecкий, нo чиcто и aккуpaтнo. Hа плoщадкe четырe кваpтиpы. В шaгoвой дocтупноcти нaхoдится cтанция мeтpо Hовoпеределкино. Сетевые магазины, торговый центр, почта, детсады, школы, фитнес, детские секции( гимнастика, паркур), крытый каток и бассейн, детская и взрослая поликлиники, горнолыжный комплекс - все, необходимое для комфортного проживания, рядом. В пешей доступности расположен лес. Облагороженное место для прогулок и занятия спортом. Один взрослый собственник. Также рассматриваем обмен на дом с участком /площадь дома не мене 150 кв. м/ в Московской области или Новой Москве, удалённость до 50 км.",,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.35811634,55.63868991",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_51_m_217_et._4494710936
"2-к. квартира, 43,1 м², 3/14 эт.",15500000,"Москва, Рублёвское ш., 9",,Пользователь,Пользователь,7267837804,2,1,26 м²,6.7 м²,3,14,,раздельный,балкон,во двор,косметический,,,,"Продается квартира с косметическим ремонтом. Один взрослый собственник, более 5-ти лет в собственности. Подходит под любой способ покупки. Разумный торг приветствуется. Также готовы рассмотреть варианты обмена на меньшую площадь с Вашей доплатой( в Москве).",монолитно-кирпичный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
1 собственник
Последняя смена собственника 14 октября 2008
Не найдены ограничения и обременения 
Совпадают площадь, адрес и этаж
Расположение
Москва, Рублёвское ш., 9
Кунцевская6",2,,закрытая территория,за шлагбаумом во дворе,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45206502,55.72961521",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_431_m_314_et._7267837804
"2-к. квартира, 57,7 м², 3/3 эт.",13500000,"Москва, Чечёрский пр., 5/5",,Пользователь,Пользователь,4073654590,2,7,34.6 м²,11 м²,3,3,2.8 м,совмещенный,,во двор,евро,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,монолитный,2012,,,закрытая территория,за шлагбаумом во дворе,Жк Аура,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54093552,55.53533173",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_577_m_33_et._4073654590
"2-к. квартира, 45,4 м², 1/9 эт.",11050000,"Москва, ул. Кухмистерова, 13",,Анжелина,Анжелина,3962324425,2,4,36 м²,5.8 м²,1,9,2.6 м,раздельный,лоджия,"во двор, на улицу, на солнечную сторону",требует ремонта,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,1972,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,прямая продажа,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.72817230,55.68535614",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_454_m_19_et._3962324425
"2-к. квартира, 56 м², 15/15 эт.",14000000,"Москва, Пролетарский пр-т, 41",,CENTURY 21 Перспектива - Ваш оператор недвижимости,CENTURY 21 Перспектива - Ваш оператор недвижимости,4699598720,2,56,32 м²,9 м²,15,15,2.7 м,раздельный,лоджия,,требует ремонта,,,,"Год постройки, расположение, ремонт и",кирпичный,1970,,,,,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.66188600,55.63229600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_56_m_1515_et._4699598720
"2-к. квартира, 58,6 м², 20/25 эт.",13500000,"ул. Липчанского, д. 10, Некрасовка",12 мая 11:41,Пользователь,Пользователь,7248123652,2,6,,,20,25,,,,,,,,,дизайнерский ремонт,,,,,,,Жк Гармония Парк,,Продажа от собственника,,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_586_m_2025_et._7248123652
"2-к. квартира, 40 м², 6/9 эт.",19999000,"Москва, ул. Крымский Вал, 6",,Пользователь,Пользователь,7287267255,2,40,26.4 м²,5.3 м²,6,9,1.6 м,раздельный,балкон,на улицу,требует ремонта,,,кондиционер,дизайнерский ремонт,панельный,1964,1,нет,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.61009979,55.73089218",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_40_m_69_et._7287267255
"2-к. квартира, 69,8 м², 17/30 эт.",38500000,"Москва, 1-я ул. Машиностроения, 10",,Пользователь,Пользователь,2645325875,2,8,50 м²,15 м²,17,30,3 м,совмещенный,балкон,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Квартира с дизайнерским ремонтом, что позволяет сразу же заехать и жить без дополнительных вложений. В просторной кухне площадью 15 кв. м можно воплотить любые кулинарные фантазии. Комнаты оформлены с использованием качественных материалов, а в санузле установлена современная сантехника. Планировка квартиры продумана до мелочей, а из окон открывается вид на городскую улицу. Балкон станет отличным местом для отдыха на свежем воздухе.",монолитно-кирпичный,2012,2,1,"закрытая территория, детская площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.67014200,55.71404400",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_698_m_1730_et._2645325875
"2-к. квартира, 44,9 м², 8/12 эт.",15000000,"Москва, 2-й Мосфильмовский пер., 10",,Пользователь,Пользователь,2434622341,2,9,28 м²,7 м²,8,12,,раздельный,балкон,во двор,косметический,,кухня,,"Продается 2-х комнатная квартира, комнаты изолированные. В квартире недавно был произведен косметический ремонт. Возможен ОБМЕН. В собственности более 5-и лет, один собственник, документы готовы к сделке. Оперативный показ. Звоните.",панельный,1964,1,,Ремонт,открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52430900,55.72425600",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_449_m_812_et._2434622341
"2-к. квартира, 45,5 м², 8/9 эт.",11699000,"Москва, Широкая ул., 22",,Недвижимость,Недвижимость,7312298472,2,5,29 м²,7 м²,8,9,2.6 м,раздельный,,во двор,косметический,,кухня,"холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,1968,1,нет,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.66944100,55.88633200",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_455_m_89_et._7312298472
"2-к. квартира, 38 м², 1/12 эт.",13700000,"Москва, Новощукинская ул., 10к2",12 мая 03:00,Homeapp,Homeapp,3574339745,2,38,23 м²,6 м²,1,12,2.5 м,совмещенный,,во двор,евро,,,,дизайнерский ремонт,блочный,1966,2,нет,Ремонт,открытая во дворе,Жк Гармония,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45544400,55.80670700",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_38_m_112_et._3574339745
"2-к. квартира, 67 м², 8/16 эт.",17700000,"Москва, Матвеевская ул., 18к1",,Пользователь,Пользователь,4642844016,2,67,33.9 м²,9.6 м²,8,16,2.6 м,раздельный,лоджия,"во двор, на улицу",требует ремонта,,есть,,"Год постройки, расположение, ремонт и",панельный,1972,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46796052,55.70260765",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_67_m_816_et._4642844016
"2-к. квартира, 50,4 м², 2/17 эт.",17000000,"Москва, Хорошёвское ш., 50к1",,Пользователь,Пользователь,4606439721,2,4,30.3 м²,8.3 м²,2,17,,раздельный,Балкон,"на улицу, на солнечную сторону",косметический,,,,"Год постройки, расположение, ремонт и",панельный,1985,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония Парк,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53393900,55.77689200",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_504_m_217_et._4606439721
"2-к. квартира, 67,9 м², 25/35 эт.",20500000,"Москва, пр-т Лихачёва, 14",,Realty Moscow,Realty Moscow,3995525988,2,9,26.3 м²,17.9 м²,25,35,3 м,совмещенный,,"на улицу, на солнечную сторону",требует ремонта,,,,дизайнерский ремонт,монолитный,,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65564000,55.68911000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_679_m_2535_et._3995525988
